Model,N_estimators,Learning_rate,Score,R2_Score,CVS,MSE,MAE,RMSE
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.8,0.7211236358301355,0.7384346150612553,0.7298834863243882,4.97537447322517,1.5188151572474409,2.2305547456238703
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.9,0.7227967547300479,0.7092938855673365,0.7132071586134308,5.529675806672472,1.5574140646092354,2.3515262717376713
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,1.0,0.7092938855673365,0.7393802372269606,0.6893287909551862,5.458810644822102,1.57833471816475,2.336409776734831
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.1,0.7284490076146968,0.713019408829533,0.7303225976282401,4.957387290457588,1.5146264023535048,2.226519097258676
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.2,0.7393802372269606,0.7284490076146968,0.7256361200427128,5.165316029906645,1.5085025673468213,2.2727331629354652
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.3,0.7211097644087026,0.7112005358048025,0.7043995609931918,5.4934083971944245,1.5551386182220355,2.343802124155199
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.4,0.713019408829533,0.6908551751672636,0.7116105646958356,5.880408335998549,1.5715125175218627,2.424955326598523
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.5,0.740445516302946,0.740445516302946,0.7300144416359782,4.937124049881011,1.4962119193156636,2.2219640073324793
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.6,0.7395125496373708,0.7292342289640499,0.7007344192308775,5.15037991648201,1.5054835438156462,2.2694448476404996
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.7,0.7112005358048025,0.7211097644087026,0.7237704565267974,5.304919683151689,1.5343028617604975,2.3032411257077903
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.8,0.7292342289640499,0.6995255243225533,0.7065028362212159,5.715485007664104,1.5691623281605782,2.390708055715734
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,0.9,0.7351876808798818,0.7410993426938155,0.7325721738158635,4.924687269930884,1.4996828896737642,2.219163641990127
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,31,1.0,0.723444542452002,0.7325376933847831,0.7268763284201336,5.087542960605862,1.5077946961547317,2.2555582370237888
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.1,0.7414106422791401,0.7395125496373708,0.689104043262434,4.954870505641432,1.5134835620798301,2.225953841758951
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.2,0.721567751356047,0.7105983373356212,0.7306021484568811,5.50486313495371,1.578981478380448,2.3462444746772895
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.3,0.7414412074105095,0.7414106422791401,0.7326055678980442,4.918765874748138,1.4989571616208734,2.217829090518054
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,32,0.4,0.6914587352508683,0.721567751356047,0.7006945853957303,5.296208069543407,1.5328477254399462,2.3013491846183203
